DTN_node,initial_location,final_location,time_elapsed,speed,angle
c55,163,304,226892,0.623893805,-3.300002581
w117,345,444,419274,0.23627685,3.427988665
w117,363,382,14987,1.357142857,1.752812156
c77,228,459,424270,0.544811321,-2.111180169
w108,467,777,226892,1.371681416,-10.71990385
p0,274,280,142268,0.042253521,1.635080437
w101,469,742,419274,0.651551313,-88.54489732
p30,393,788,140487,2.821428571,-2.155976535
w88,179,398,140487,1.564285714,-1.308178256
c47,108,274,226892,0.734513274,-0.690845606
c77,23,522,142268,3.514084507,0.850016423
c60,131,409,14987,19.85714286,-0.019457704
p28,371,601,14987,16.42857143,-20.32959141
p14,63,150,147248,0.591836735,-0.951670871
p10,377,533,424270,0.367924528,6.316875371
c64,341,643,419274,0.720763723,-3.070630475
w112,318,347,424270,0.068396226,1.922691418
c51,70,566,147248,3.37414966,-4.237795467
w83,383,508,140487,0.892857143,4.009423439
w105,277,709,419274,1.031026253,-0.658067762
w83,374,628,14987,18.14285714,-9.193370419
c65,316,620,226892,1.345132743,-2.42428774
w91,3,106,147248,0.700680272,0.981013348
p30,162,395,147248,1.585034014,-0.847981492
c52,499,899,14987,28.57142857,-4.255416233
p19,350,660,140487,2.214285714,-3.069756902
c64,104,112,419274,0.019093079,1.857445956
p13,269,460,14987,13.64285714,-7.135326845
p20,362,677,142268,2.218309859,-3.23996338
w95,329,503,424270,0.410377358,23.84044774
p13,434,931,142268,3.5,-1.545250807
w85,432,713,147248,1.911564626,-12.52573927
w94,441,454,424270,0.030660377,1.663277903
c54,331,381,142268,0.352112676,2.240848944
w85,1,225,140487,1.6,-2.532114992
c73,427,843,226892,1.840707965,-2.342704558
c72,25,54,226892,0.128318584,-1.496103542
c78,197,300,142268,0.725352113,20.83746677
p34,231,268,419274,0.088305489,2.296884806
t124,400,426,140487,0.185714286,1.805534208
c54,369,408,419274,0.093078759,1.992732876
p16,421,455,419274,0.081145585,1.874643745
w109,379,834,14987,32.5,-1.372300472
p37,208,422,424270,0.504716981,-2.028306108
c63,82,239,14987,11.21428571,-0.230937399
c76,408,438,140487,0.214285714,1.842438332
p29,313,796,147248,3.285714286,-0.681880836
c49,95,361,147248,1.80952381,0.773556091
w86,489,982,419274,1.176610979,-2.138633917
w109,281,302,14987,1.5,1.847739777
c63,350,352,142268,0.014084507,1.577158101
c66,257,319,140487,0.442857143,2.923775882
p32,397,445,14987,3.428571429,2.070741412
w106,35,45,424270,0.023584906,3.412215939
c69,356,453,14987,6.928571429,3.252018974
w114,271,405,142268,0.943661972,13.07531787
w81,161,515,142268,2.492957746,0.057227461
c55,226,514,147248,1.959183673,-1.178747817
p27,372,546,142268,1.225352113,9.669237858
w93,247,640,14987,28.07142857,-0.613792735
p15,99,518,140487,2.992857143,-1.7468026
p33,232,528,419274,0.706443914,-1.175108576
c53,84,438,147248,2.408163265,-1.822264171
p1,401,476,226892,0.331858407,2.4765736
c50,245,716,142268,3.316901408,-0.222720446
w94,378,634,14987,18.28571429,-9.358363355
c60,397,683,226892,1.265486726,-6.634249335
p6,371,708,140487,2.407142857,-2.849057019
c40,244,307,419274,0.150357995,3.094095299
c64,23,41,147248,0.12244898,-4.650343403
p3,276,324,142268,0.338028169,2.385927614
w95,414,756,140487,2.442857143,-3.831635285
w97,160,206,14987,3.285714286,3.434931549
w111,18,249,142268,1.626760563,3.189368442
w93,214,645,14987,30.78571429,-0.128270591
w119,262,598,140487,2.4,-1.159560775
p31,497,811,419274,0.749403341,-16.37460647
w115,227,379,147248,1.034013605,-10.08776302
p27,100,401,142268,2.11971831,1.18150175
w87,332,455,14987,8.785714286,4.92520159
p29,49,392,142268,2.415492958,-6.799711455
p10,127,419,424270,0.688679245,0.158938354
c48,287,781,424270,1.16509434,-0.446978372
w112,48,426,140487,2.7,-0.612799752
p34,73,95,419274,0.052505967,3.621341423
w108,279,402,142268,0.866197183,7.652729055
c55,100,540,140487,3.142857143,-1.217540825
p37,271,395,419274,0.295942721,8.793668936
w114,369,861,140487,3.514285714,-1.046800378
p27,263,599,419274,0.801909308,-1.171058543
w86,143,576,424270,1.021226415,1.225500778
p14,255,288,142268,0.232394366,2.116522791
p16,148,379,226892,1.022123894,-0.656286467
w116,20,266,419274,0.587112172,0.901474935
w93,205,280,419274,0.178997613,4.810907114
t121,177,183,226892,0.026548673,1.680048626
w106,332,627,424270,0.695754717,-3.040410899
t122,499,872,147248,2.537414966,-5.600329861
p29,144,638,424270,1.16509434,3.453749446
c49,364,483,142268,0.838028169,4.018875494
w95,183,637,142268,3.197183099,0.352928861
w115,138,566,14987,30.57142857,1.427921681
c56,4,159,140487,1.107142857,-1.920389968
w113,159,405,140487,1.757142857,-0.675980337
w91,234,244,419274,0.023866348,1.714337567
w108,273,473,142268,1.408450704,-6.126272253
c64,38,483,142268,3.133802817,0.145162632
p0,160,263,147248,0.700680272,-13.68300247
t122,19,152,147248,0.904761905,-6.799711455
w91,204,432,226892,1.008849558,-1.642628232
p0,182,312,147248,0.884353741,-6.921260941
p1,76,188,142268,0.788732394,-0.788855444
p22,329,601,147248,1.850340136,-3.82129973
p33,402,806,14987,28.85714286,-2.15662022
p33,137,144,14987,0.5,1.747746194
p20,332,632,419274,0.715990453,-2.892876647
c53,14,45,419274,0.07398568,0.072821375
p18,246,638,419274,0.935560859,-0.610489541
c64,316,352,419274,0.085918854,2.034342554
w94,157,378,14987,15.78571429,-0.902055073
w93,200,597,226892,1.756637168,-0.157885284
p18,133,599,226892,2.061946903,4.723438294
w102,250,613,140487,2.592857143,-0.824651513
p2,449,914,419274,1.109785203,-1.994060103
p21,329,594,147248,1.802721088,-4.182702337
c50,3,465,147248,3.142857143,1.792654493
c48,389,725,142268,2.366197183,-3.31525593
c78,380,713,424270,0.785377358,-3.170634662
c48,136,385,419274,0.594272076,-0.321110868
t121,261,267,147248,0.040816327,1.639094254
c59,357,774,226892,1.845132743,-1.470290224
p11,225,538,14987,22.35714286,-0.932496323
w106,362,375,14987,0.928571429,1.687770712
w118,451,560,424270,0.257075472,2.927982694
c78,406,465,419274,0.140811456,2.20674104
w112,284,656,14987,26.57142857,-1.097246211
p26,305,656,140487,2.507142857,-1.526247297
p12,345,746,142268,2.823943662,-1.488620328
p26,304,638,14987,23.85714286,-1.715020786
t120,229,405,142268,1.23943662,-4.990473785
p31,309,597,419274,0.687350835,-2.646748566
w119,333,360,142268,0.190140845,1.876093641
w95,302,348,419274,0.109785203,2.2484603
w119,226,500,147248,1.863945578,-1.338647011
w91,384,651,424270,0.629716981,-7.989536879
c75,51,234,140487,1.307142857,8.013106145
p13,387,679,14987,20.85714286,-5.381518393
w88,303,400,140487,0.692857143,3.905492275
p12,139,228,147248,0.605442177,-14.3670897
t120,332,763,142268,3.035211268,-1.123292932
