DTN_node,Messages_generated_count,Messages_delivered_count
p0,7,3
p1,8,8
p2,10,8
p3,8,9
p4,7,6
p5,8,8
p6,10,9
p7,3,7
p8,6,6
p9,8,8
p10,7,10
p11,17,5
p12,3,10
p13,6,7
p14,12,3
p15,7,7
p16,6,6
p17,6,7
p18,5,14
p19,9,7
p20,2,7
p21,3,13
p22,7,4
p23,8,6
p24,10,16
p25,5,6
p26,10,8
p27,7,10
p28,14,4
p29,7,9
p30,4,3
p31,8,9
p32,9,3
p33,3,4
p34,10,7
p35,10,12
p36,8,5
p37,6,11
p38,9,9
p39,6,6
c40,9,7
c41,7,10
c42,4,8
c43,9,5
c44,6,11
c45,5,9
c46,10,9
c47,6,9
c48,10,10
c49,8,10
c50,9,9
c51,6,9
c52,11,9
c53,13,12
c54,7,11
c55,6,5
c56,9,8
c57,7,8
c58,7,11
c59,10,8
c60,9,4
c61,9,8
c62,8,8
c63,9,3
c64,8,7
c65,5,6
c66,6,7
c67,10,9
c68,10,9
c69,6,8
c70,10,8
c71,7,5
c72,7,14
c73,12,6
c74,5,10
c75,11,6
c76,4,6
c77,9,9
c78,9,8
c79,7,6
w80,15,8
w81,16,7
w82,6,7
w83,5,9
w84,8,8
w85,10,10
w86,8,5
w87,7,7
w88,4,6
w89,6,8
w90,12,9
w91,3,9
w92,8,7
w93,12,5
w94,4,8
w95,7,10
w96,6,9
w97,10,11
w98,10,11
w99,6,7
w100,10,13
w101,10,11
w102,9,6
w103,9,6
w104,13,5
w105,7,11
w106,9,8
w107,8,10
w108,6,7
w109,4,8
w110,7,7
w111,12,7
w112,7,5
w113,9,5
w114,7,9
w115,8,7
w116,11,12
w117,5,4
w118,7,5
w119,9,12
t120,8,9
t121,6,11
t122,6,7
t123,11,12
t124,11,9
t125,9,8
