DTN_node,Message_ID,Message_generated_time,Message_received_time,Delay
c75,Message transfered from c75 to t123,1651701372218,1651701317326,65004
p16,Message transfered from p16 to w86,1651701322663,1651701442826,494795
p37,Message transfered from p37 to c57,1651701349168,1651701442826,468290
w85,Message transfered from w85 to c64,1651701387193,1651701449587,651386
c74,Message transfered from c74 to c54,1651701375963,1651701721613,904682
c69,Message transfered from c69 to w89,1651701359062,1651701721613,921583
p37,Message transfered from p37 to p15,1651701317326,1651701444607,289873
c73,Message transfered from c73 to c66,1651701372218,1651701317326,65004
p38,Message transfered from p38 to p13,1651701317326,1651701529231,665689
w97,Message transfered from w97 to c60,1651701359062,1651701442826,458396
p5,Message transfered from p5 to c51,1651701387193,1651701444607,220006
p31,Message transfered from p31 to p9,1651701372218,1651701444607,234981
c61,Message transfered from c61 to c69,1651701375963,1651701726609,1029478
c55,Message transfered from c55 to w118,1651701359062,1651701317326,78160
w113,Message transfered from w113 to w107,1651701375963,1651701317326,61259
p20,Message transfered from p20 to w106,1651701317326,1651701317326,119896
c62,Message transfered from c62 to p12,1651701317326,1651701449587,721253
p27,Message transfered from p27 to c43,1651701359062,1651701726609,1046379
c70,Message transfered from c70 to w111,1651701322663,1651701444607,284536
p17,Message transfered from p17 to p7,1651701317326,1651701317326,119896
w98,Message transfered from w98 to p30,1651701349168,1651701529231,633847
w112,Message transfered from w112 to p33,1651701372218,1651701317326,65004
c62,Message transfered from c62 to w99,1651701322663,1651701529231,660352
c56,Message transfered from c56 to w96,1651701387193,1651701444607,220006
c40,Message transfered from c40 to p12,1651701349168,1651701449587,689411
c78,Message transfered from c78 to c48,1651701372218,1651701317326,65004
c66,Message transfered from c66 to c77,1651701359062,1651701442826,458396
w106,Message transfered from w106 to w86,1651701317326,1651701726609,1088115
w86,Message transfered from w86 to w84,1651701322663,1651701442826,494795
p32,Message transfered from p32 to c70,1651701372218,1651701726609,1033223
w86,Message transfered from w86 to p5,1651701349168,1651701726609,1056273
c45,Message transfered from c45 to p19,1651701375963,1651701444607,231236
p12,Message transfered from p12 to c76,1651701349168,1651701442826,468290
c62,Message transfered from c62 to p9,1651701359062,1651701529231,623953
c44,Message transfered from c44 to w115,1651701387193,1651701721613,893452
c62,Message transfered from c62 to w80,1651701359062,1651701444607,248137
w116,Message transfered from w116 to p33,1651701317326,1651701442826,500132
p9,Message transfered from p9 to p27,1651701349168,1651701529231,633847
p25,Message transfered from p25 to p11,1651701349168,1651701442826,468290
c47,Message transfered from c47 to c73,1651701317326,1651701317326,119896
p5,Message transfered from p5 to p33,1651701317326,1651701721613,963319
t123,Message transfered from t123 to p31,1651701375963,1651701529231,607052
w96,Message transfered from w96 to c67,1651701317326,1651701529231,665689
c66,Message transfered from c66 to p5,1651701317326,1651701529231,665689
p25,Message transfered from p25 to w85,1651701322663,1651701449587,715916
